OPC-N3 Iss1.1 FirmwareVer=1.17a...........................BS
OPC-N3 177622502                                            
Config info:
LaserDAC,68
FanDAC,255
ToFtoSFRfactor,58
PVP(us/48),48
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23
BoundaryADC,14,40,80,120,145,215,340,590,846,1363,2029,2848,4119,5527,7076,8624,10204,11815,13457,15897,18305,20698,22966,25140,27158
Boundary_um,0.350,0.460,0.660,1.000,1.300,1.700,2.300,3.000,4.000,5.200,6.500,8.000,10.000,12.000,14.000,16.000,18.000,20.000,22.000,25.000,28.000,31.000,34.000,37.000,40.000
BinWeighting,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Temp(C),RH(%),PM_1.000(ug/m^3),PM_2.500(ug/m^3),PM_10.000(ug/m^3),#RjtGlitch,#RjtLong,#RjtRatio,#RjtRange,#FanRevs,LaserStatus
481,64,11,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27,0,0,0.680,6.560,31.510,44.611,9.312,12.170,59.971,110,0,2057,11,0,596
484,47,13,3,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,20,0,10,0.680,6.230,31.496,44.597,9.510,16.373,97.482,89,0,1953,10,0,595
515,50,12,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,28,0,0,0.680,6.280,31.536,44.615,9.541,13.888,101.414,121,0,1859,6,0,596
467,49,18,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,27,34,0,0.680,6.080,31.523,44.649,9.845,13.385,14.336,122,0,1931,11,0,596
507,51,9,5,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27,30,36,0.680,6.450,31.552,44.654,9.557,17.476,32.070,104,0,1895,10,0,596
461,40,9,3,1,1,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,23,29,9,0,0.680,6.410,31.552,44.617,8.339,13.142,177.170,94,0,2972,8,0,596
451,36,16,2,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,24,16,32,38,0.680,6.190,31.582,44.530,8.831,14.632,171.560,105,0,1829,10,0,597
498,52,10,1,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,38,0,0.680,6.520,31.569,44.480,9.380,17.825,23.125,112,0,1776,3,0,596
452,52,12,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,31,0,0,0.680,6.440,31.582,44.368,8.838,13.002,15.173,106,0,1855,10,0,596
487,56,11,5,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,26,30,0,0.680,6.680,31.569,44.251,9.314,14.136,122.524,95,0,1801,12,0,596
474,55,11,4,3,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,28,20,0,0.680,6.520,31.611,44.232,9.343,15.084,166.524,100,0,2335,8,0,596
492,49,6,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,33,0,0.680,6.440,31.611,44.319,8.702,13.889,18.196,117,0,2557,12,0,596
415,67,8,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,32,0,0.680,6.690,31.598,44.332,8.262,12.485,27.844,117,0,2841,13,0,596
504,49,12,2,1,1,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,26,22,0,0.680,6.800,31.625,44.333,8.810,16.594,154.573,99,0,1869,12,0,596
467,43,10,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,33,0,49,0.680,6.610,31.654,44.223,8.062,11.530,32.361,97,0,1807,8,0,596
520,54,10,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,32,35,0,0.680,7.060,31.654,44.277,9.115,16.072,20.533,111,0,1885,17,0,596
488,64,6,1,1,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,31,34,0.680,7.000,31.667,44.338,8.332,16.215,97.101,118,0,1850,10,0,595
514,57,21,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,27,30,45,0.680,6.390,31.667,44.327,10.594,15.319,47.770,109,0,1872,14,0,595
533,46,14,1,5,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,0,0,0.680,6.380,31.681,44.328,10.001,14.678,124.254,105,0,1884,9,0,594
490,55,9,5,4,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,28,36,0,0.680,6.370,31.697,44.281,9.814,18.865,138.355,109,0,1909,14,0,594
525,46,10,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,0,0,0.680,6.610,31.667,44.327,9.464,13.672,43.206,108,0,1884,8,0,595
538,65,10,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,27,0,0,0.680,6.480,31.710,44.269,10.308,13.888,14.292,117,0,2019,4,0,595
506,69,9,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,36,0,0.680,6.420,31.723,44.319,9.726,17.052,36.057,98,0,1758,14,0,595
546,48,17,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,10,0,0.680,6.390,31.710,44.319,10.223,14.948,17.500,108,0,1904,14,0,595
515,50,13,5,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27,35,0,0.680,6.630,31.723,44.309,9.596,16.219,75.943,104,0,1836,14,0,595
503,69,14,1,2,0,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,24,27,0,39,0.680,6.220,31.723,44.359,10.378,18.519,179.416,83,0,1832,11,0,596
496,58,12,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,29,35,0.680,6.280,31.723,44.283,9.868,17.004,26.203,107,0,1891,11,0,596
520,64,9,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,30,0,0.680,6.320,31.766,44.126,9.944,14.203,64.627,92,0,1786,17,0,596
460,52,10,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,29,0,38,0.680,6.600,31.766,44.136,8.568,13.297,25.215,93,0,1792,12,0,596
512,53,11,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,43,0.680,7.050,31.779,44.063,8.430,12.686,23.874,91,0,1891,11,0,596
454,70,15,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,12,9,0.680,6.690,31.779,43.984,9.146,12.857,19.133,103,0,1919,10,0,596
515,45,22,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,36,0,0.680,6.540,31.779,44.025,9.887,14.893,32.288,104,0,1844,10,0,597
490,61,11,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,29,0,0,0.680,6.450,31.809,43.903,9.196,12.393,42.974,97,0,1914,8,0,596
539,65,12,6,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,24,33,3,0.680,6.400,31.809,43.852,10.846,19.105,28.535,84,0,1925,15,0,596
526,48,15,3,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,30,39,0.680,6.630,31.822,43.770,9.611,16.893,53.443,119,0,1891,9,0,596
505,53,16,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,33,37,0.680,6.780,31.822,43.797,9.201,13.142,19.390,99,0,1917,10,0,596
548,53,15,2,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,24,31,29,7,0.670,6.310,31.822,43.906,10.631,15.619,157.056,96,0,1878,10,0,596
503,61,8,1,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,20,0,0.680,6.330,31.852,43.787,9.643,15.534,62.618,103,0,1785,11,0,596
518,48,10,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,32,34,38,0.680,6.340,31.836,43.746,9.487,15.984,25.028,106,0,1852,11,0,596
520,54,11,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,26,0,35,0.680,6.090,31.852,43.733,10.364,16.580,25.287,118,0,1951,12,0,597
570,49,8,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,34,0,0.680,6.720,31.865,43.910,9.339,14.249,17.322,104,0,1874,13,0,596
487,72,12,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,29,0,0,0.680,6.530,31.865,43.884,9.683,13.316,63.083,127,0,2022,12,0,597
530,53,14,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26,29,0,0.680,6.720,31.878,43.778,9.543,13.482,28.711,105,0,2004,9,0,597
510,66,14,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,28,30,0,0.680,6.530,31.878,43.682,10.067,13.805,39.756,91,0,1930,15,0,596
512,70,16,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,35,0,0.680,7.050,31.878,43.654,9.818,15.054,16.452,114,0,1931,16,0,596
534,61,15,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,27,31,0,0.680,6.690,31.865,43.678,10.041,14.787,30.204,94,0,2052,7,0,596
533,55,3,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,31,33,0,0.680,7.110,31.892,43.697,8.424,12.491,40.546,119,0,2042,8,0,596
522,50,11,6,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,31,31,37,0.680,7.040,31.921,43.700,8.951,14.149,147.113,113,0,2063,11,0,598
520,60,14,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,0,0,0.680,6.680,31.908,43.683,9.525,11.877,40.841,97,0,2027,13,0,596
521,53,9,2,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27,32,0,0.680,6.800,31.892,43.614,9.162,17.882,25.675,80,0,2020,14,0,595
523,70,17,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,27,33,0,0.680,6.570,31.921,43.578,10.510,14.922,44.927,105,0,2064,11,0,596
489,60,21,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,30,41,0.680,6.460,31.934,43.591,9.849,17.292,27.979,103,0,2019,14,0,596
569,67,8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15,33,15,0.680,6.700,31.950,43.608,9.871,14.886,23.019,108,0,1995,14,0,596
530,60,16,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,30,0,0.680,6.520,31.950,43.636,10.255,14.859,15.982,111,0,2067,12,0,596
