timestamp,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MToFBin1,MToFBin3,MToFBin5,MToFBin7,SamplingPeriod,SFR,Temp,RH,PM_1.000,PM_2.500,PM_10.000,RjtGlitch,RjtLong,RjtRatio,RjtRange,FanRevs,LaserStatus,filename
2023-10-25 15:23:29.305,514,67,8,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,30,40,0,0.68,6.53,31.48,44.469,9.474,14.789,45.908,112,0,1950,4,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:23:30.700,517,39,8,0,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,31,39,0.68,6.46,31.467,44.48,9.048,19.956,46.592,105,0,2074,11,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:23:32.096,513,39,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,39,0.68,6.2,31.467,44.492,8.651,11.164,17.526,112,0,2145,7,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:23:33.491,481,64,11,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27,0,0,0.68,6.56,31.51,44.611,9.312,12.17,59.971,110,0,2057,11,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:23:34.887,484,47,13,3,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,20,0,10,0.68,6.23,31.496,44.597,9.51,16.373,97.482,89,0,1953,10,0,595,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:23:36.282,515,50,12,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,28,0,0,0.68,6.28,31.536,44.615,9.541,13.888,101.414,121,0,1859,6,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:23:37.678,467,49,18,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,27,34,0,0.68,6.08,31.523,44.649,9.845,13.385,14.336,122,0,1931,11,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:23:39.073,507,51,9,5,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27,30,36,0.68,6.45,31.552,44.654,9.557,17.476,32.07,104,0,1895,10,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:23:40.469,461,40,9,3,1,1,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,23,29,9,0,0.68,6.41,31.552,44.617,8.339,13.142,177.17,94,0,2972,8,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:23:41.864,451,36,16,2,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,24,16,32,38,0.68,6.19,31.582,44.53,8.831,14.632,171.56,105,0,1829,10,0,597,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:23:43.260,498,52,10,1,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,38,0,0.68,6.52,31.569,44.48,9.38,17.825,23.125,112,0,1776,3,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:23:44.655,452,52,12,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,31,0,0,0.68,6.44,31.582,44.368,8.838,13.002,15.173,106,0,1855,10,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:23:46.050,487,56,11,5,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,26,30,0,0.68,6.68,31.569,44.251,9.314,14.136,122.524,95,0,1801,12,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:23:47.446,474,55,11,4,3,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,28,20,0,0.68,6.52,31.611,44.232,9.343,15.084,166.524,100,0,2335,8,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:23:48.841,492,49,6,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,33,0,0.68,6.44,31.611,44.319,8.702,13.889,18.196,117,0,2557,12,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:23:50.237,415,67,8,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,32,0,0.68,6.69,31.598,44.332,8.262,12.485,27.844,117,0,2841,13,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:23:51.632,504,49,12,2,1,1,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,26,22,0,0.68,6.8,31.625,44.333,8.81,16.594,154.573,99,0,1869,12,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:23:53.028,467,43,10,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,33,0,49,0.68,6.61,31.654,44.223,8.062,11.53,32.361,97,0,1807,8,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:23:54.423,520,54,10,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,32,35,0,0.68,7.06,31.654,44.277,9.115,16.072,20.533,111,0,1885,17,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:23:55.819,488,64,6,1,1,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,31,34,0.68,7.0,31.667,44.338,8.332,16.215,97.101,118,0,1850,10,0,595,n3_20231111_215901_CCD__OPC2_010.CSV
